user_id,first_name,last_name,city,email,phone_number,buyer,seller
user-1,Arta,Thamrin,3273,arta.thamrin@yahoo.com,0869060636,False,True
user-2,Cakrabirawa,Sirait,5171,cakrabirawa.sirait@hotmail.com,+62-867-225-4994,True,False
user-3,Samsul,Sinaga,3573,samsul.sinaga@gmail.com,+62 (557) 481 8022,True,False
user-4,Oni,Kuswoyo,3172,oni.kuswoyo@yahoo.com,0864634715,False,True
user-5,Gamani,Wibowo,3172,gamani.wibowo@gmail.com,085 778 1958,False,True
user-6,Zelaya,Laksita,3273,zelaya.laksita@gmail.com,(0095) 838-3534,True,True
user-7,Elma,Hartati,3173,elma.hartati@yahoo.com,+62-390-872-1576,False,True
user-8,Karsa,Nugroho,3175,karsa.nugroho@hotmail.com,+62-39-490-0170,True,True
user-9,Kezia,Puspita,3171,kezia.puspita@gmail.com,(045) 174-2618,True,False
user-10,Uda,Haryanto,1371,uda.haryanto@gmail.com,+62 (407) 969-9324,False,True
user-11,Fitria,Hakim,3175,fitria.hakim@hotmail.com,+62 (089) 581-5177,True,True
user-12,Jail,Saptono,3175,jail.saptono@gmail.com,(0166) 721 1975,True,False
user-13,Wulan,Andriani,3174,wulan.andriani@hotmail.com,+62 (0675) 254 2284,True,True
user-14,Iriana,Adriansyah,3573,iriana.adriansyah@hotmail.com,(057) 098 2387,True,True
user-15,Danuja,Pradana,6471,danuja.pradana@yahoo.com,089 557 0777,True,True
user-16,Daruna,Sihotang,3174,daruna.sihotang@yahoo.com,+62 (59) 746-9644,True,True
user-17,Wahyu,Melani,3471,wahyu.melani@gmail.com,0881319183,False,True
user-18,Mustofa,Halim,5171,mustofa.halim@yahoo.com,(0599) 684 6950,False,True
user-19,Yahya,Uyainah,3172,yahya.uyainah@gmail.com,(0651) 333-0387,True,True
user-20,Surya,Anggraini,7371,surya.anggraini@hotmail.com,+62 (053) 574-1666,False,True
user-21,Darsirah,Adriansyah,1371,darsirah.adriansyah@yahoo.com,+62 (609) 584 8680,True,True
user-22,Heryanto,Melani,3174,heryanto.melani@hotmail.com,087 993 6962,True,False
user-23,Ibun,Mardhiyah,3273,ibun.mardhiyah@gmail.com,+62 (939) 779 9637,True,False
user-24,Leo,Sirait,6471,leo.sirait@gmail.com,+62 (846) 522 3612,True,False
user-25,Yessi,Adriansyah,3273,yessi.adriansyah@yahoo.com,+62 (49) 991-0541,False,True
user-26,Najwa,Sudiati,6472,najwa.sudiati@gmail.com,+62 (0506) 816 2866,False,True
user-27,Kurnia,Uyainah,7371,kurnia.uyainah@hotmail.com,(013) 950 1534,True,True
user-28,Prayoga,Ramadan,3171,prayoga.ramadan@yahoo.com,+62 (384) 574 0114,False,True
user-29,Radit,Suwarno,3171,radit.suwarno@gmail.com,0828228219,True,True
user-30,Purwa,Saragih,3573,purwa.saragih@yahoo.com,+62 (0071) 893-5369,False,True
user-31,Ophelia,Putra,3174,ophelia.putra@gmail.com,+62 (03) 837 3063,True,False
user-32,Vino,Nugroho,3174,vino.nugroho@hotmail.com,(0664) 398 7513,False,True
user-33,Galih,Maulana,3273,galih.maulana@gmail.com,+62 (469) 630-8221,True,False
user-34,Raina,Hakim,6472,raina.hakim@yahoo.com,+62-57-962-6694,True,False
